BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
Armor Bank,AR,Total Assets,468721000.00000000000,USD,2025-03-31
Armstrong Bank,OK,Total Assets,2473491000.00000000000,USD,2025-03-31
Armstrong County Building and Loan Association,PA,Total Assets,96790000.00000000000,USD,2025-03-31
Aroostook County Federal Savings and Loan Association,ME,Total Assets,199014000.00000000000,USD,2025-03-31
Arrow Bank National Association,NY,Total Assets,4440208000.00000000000,USD,2025-03-31
Arrowhead Bank,TX,Total Assets,291870000.00000000000,USD,2025-03-31
Arthur State Bank,SC,Total Assets,788655000.00000000000,USD,2025-03-31
Artisans' Bank,DE,Total Assets,694474000.00000000000,USD,2025-03-31
Arundel Federal Savings Bank,MD,Total Assets,454283000.00000000000,USD,2025-03-31
Arvest Bank,AR,Total Assets,27136208000.00000000000,USD,2025-03-31
Ascend Bank,CT,Total Assets,1189191000.00000000000,USD,2025-03-31
Ascendia Bank,NJ,Total Assets,394079000.00000000000,USD,2025-03-31
Ascent Bank,MT,Total Assets,104551000.00000000000,USD,2025-03-31
Ashton State Bank,IA,Total Assets,55319000.00000000000,USD,2025-03-31
Asian Bank,PA,Total Assets,606439000.00000000000,USD,2025-03-31
Asian Pacific National Bank,CA,Total Assets,55491000.00000000000,USD,2025-03-31
Aspire Bank,ND,Total Assets,65879000.00000000000,USD,2025-03-31
"Associated Bank, National Association",WI,Total Assets,43249136000.00000000000,USD,2025-03-31
Astra Bank,KS,Total Assets,414651000.00000000000,USD,2025-03-31
Atascosa Bank,TX,Total Assets,86746000.00000000000,USD,2025-03-31
Athol Savings Bank,MA,Total Assets,675710000.00000000000,USD,2025-03-31
Atkins Savings Bank & Trust,IA,Total Assets,160536000.00000000000,USD,2025-03-31
Atlantic Community Bankers Bank,PA,Total Assets,942449000.00000000000,USD,2025-03-31
Atlantic Union Bank,VA,Total Assets,24519745000.00000000000,USD,2025-03-31
Auburn Banking Company,KY,Total Assets,139652000.00000000000,USD,2025-03-31
"Auburn Savings Bank, FSB",ME,Total Assets,101149000.00000000000,USD,2025-03-31
Auburn State Bank,NE,Total Assets,258505000.00000000000,USD,2025-03-31
AuburnBank,AL,Total Assets,996268000.00000000000,USD,2025-03-31
Audubon State Bank,IA,Total Assets,162674000.00000000000,USD,2025-03-31
"Austin Bank, Texas National Association",TX,Total Assets,3119259000.00000000000,USD,2025-03-31
Austin Capital Bank SSB,TX,Total Assets,462233000.00000000000,USD,2025-03-31
Austin County State Bank,TX,Total Assets,417617000.00000000000,USD,2025-03-31
Availa Bank,IA,Total Assets,1645413000.00000000000,USD,2025-03-31
Avana Bank,TX,Total Assets,41754000.00000000000,USD,2025-03-31
Avidbank,CA,Total Assets,2313465000.00000000000,USD,2025-03-31
Avidia Bank,MA,Total Assets,2709220000.00000000000,USD,2025-03-31
"Axiom Bank, National Association",FL,Total Assets,861206000.00000000000,USD,2025-03-31
